"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7177","Logout SauceDemo - problem_user","chromium","2026-06-30","passed","2026-06-30","","logout.spec.js","",""
"","6619","Filter Products - hilo","chromium","2026-06-30","passed","2026-06-30","","filter.spec.js","",""
"","7037","Filter Products - lohi","chromium","2026-06-30","passed","2026-06-30","","filter.spec.js","",""
"","6592","Filter Products - za","chromium","2026-06-30","passed","2026-06-30","","filter.spec.js","",""
"","13237","Login SauceDemo - standard_user","chromium","2026-06-30","passed","2026-06-30","","login.spec.js","",""
"","12835","Login SauceDemo - problem_user","chromium","2026-06-30","failed","2026-06-30","","login.spec.js","",""
"","6822","Filter Products - az","chromium","2026-06-30","passed","2026-06-30","","filter.spec.js","",""
"","7552","Logout SauceDemo - standard_user","chromium","2026-06-30","passed","2026-06-30","","logout.spec.js","",""
"","8322","Inventory SauceDemo - Sauce Labs Backpack","chromium","2026-06-30","passed","2026-06-30","","inventory.spec.js","",""
"","8194","Inventory SauceDemo - Sauce Labs Bike Light","chromium","2026-06-30","passed","2026-06-30","","inventory.spec.js","",""
"","16472","Login SauceDemo - locked_out_user","chromium","2026-06-30","failed","2026-06-30","","login.spec.js","",""
"","10804","Add To Cart SauceDemo - Sauce Labs Backpack","chromium","2026-06-30","failed","2026-06-30","","addtocart.spec.js","",""
"","8953","Add To Cart SauceDemo - Sauce Labs Bike Light","chromium","2026-06-30","failed","2026-06-30","","addtocart.spec.js","",""
